,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
0,11368,Ciutat Vella,100.0,"Sant Pere, Santa Caterina i la Ribera",4,290,33,625.0
79,144801,Ciutat Vella,80.0,"Sant Pere, Santa Caterina i la Ribera",4,331,30,226.67
120,206846,Ciutat Vella,98.0,"Sant Pere, Santa Caterina i la Ribera",2,220,31,1184.17
200,302440,Ciutat Vella,40.0,el Raval,4,194,32,570.0
233,357576,Gràcia,75.0,la Vila de Gràcia,6,256,32,681.25
277,417239,Gràcia,97.0,la Vila de Gràcia,5,287,30,630.5
298,448794,Ciutat Vella,90.0,el Raval,6,363,30,15.0
333,484390,Eixample,25.0,la Sagrada Família,2,114,31,522.92
425,567962,Sants-Montjuïc,53.0,la Bordeta,3,364,32,4.42
458,594965,Ciutat Vella,42.0,la Barceloneta,2,301,32,224.0
593,732214,Ciutat Vella,46.0,la Barceloneta,4,318,31,180.17
655,776174,Ciutat Vella,56.0,el Barri Gòtic,4,102,32,1227.33
671,791717,Sant Martí,110.0,el Poblenou,4,271,32,861.67
700,824902,Eixample,80.0,la Sagrada Família,5,236,32,860.0
702,827250,Eixample,135.0,la Sagrada Família,4,220,32,1631.25
831,927148,Ciutat Vella,70.0,el Barri Gòtic,4,286,32,460.83
858,938557,Eixample,80.0,Sant Antoni,2,117,32,1653.33
1039,1084712,Sarrià-Sant Gervasi,75.0,Sant Gervasi - la Bonanova,2,315,32,312.5
1545,1642736,Sants-Montjuïc,30.0,Sants,3,235,32,325.0
1576,1691141,Eixample,96.0,la Nova Esquerra de l'Eixample,5,363,30,16.0
1642,1817640,Gràcia,75.0,la Vila de Gràcia,6,317,32,300.0
1710,1916297,Gràcia,85.0,la Vila de Gràcia,4,0,31,2585.42
1725,1938408,Gràcia,78.0,la Vila de Gràcia,2,358,32,45.5
1753,2003024,Ciutat Vella,85.0,el Barri Gòtic,5,319,31,325.83
1787,2054129,Ciutat Vella,65.0,el Barri Gòtic,4,247,35,639.17
2100,2530059,Ciutat Vella,125.0,el Raval,3,239,31,1312.5
2269,2809378,Ciutat Vella,38.0,la Barceloneta,3,264,31,319.83
2305,2930798,Ciutat Vella,27.0,la Barceloneta,2,282,31,186.75
2360,3019711,Sants-Montjuïc,44.0,Sants,1,45,32,1173.33
2515,3250179,Eixample,70.0,Sant Antoni,5,332,32,192.5
2521,3255204,Gràcia,46.0,la Vila de Gràcia,2,97,32,1027.33
2534,3276856,Ciutat Vella,80.0,el Raval,3,225,31,933.33
2640,3431763,Ciutat Vella,65.0,"Sant Pere, Santa Caterina i la Ribera",5,196,32,915.42
2686,3493834,Eixample,150.0,el Fort Pienc,3,243,32,1525.0
2741,3582210,Sarrià-Sant Gervasi,50.0,Sant Gervasi - Galvany,5,231,30,558.33
2866,3813714,Les Corts,60.0,les Corts,6,256,31,545.0
2884,3831664,Ciutat Vella,95.0,"Sant Pere, Santa Caterina i la Ribera",5,365,32,0.0
2933,3936390,Gràcia,80.0,Vallcarca i els Penitents,3,293,32,480.0
2990,4054602,Horta-Guinardó,10.0,Can Baró,3,365,31,0.0
3009,4134025,Ciutat Vella,46.0,el Raval,4,264,31,387.17
3015,4141367,Eixample,70.0,la Nova Esquerra de l'Eixample,4,263,32,595.0
3059,4249935,Sants-Montjuïc,45.0,el Poble Sec,4,316,70,183.75
3091,4354142,Eixample,60.0,la Dreta de l'Eixample,4,283,32,410.0
3215,4668430,Gràcia,95.0,la Vila de Gràcia,4,276,32,704.58
3221,4685002,Les Corts,45.0,la Maternitat i Sant Ramon,4,0,32,1368.75
3436,5209513,Gràcia,80.0,la Vila de Gràcia,2,314,31,340.0
3571,5468510,Eixample,55.0,la Sagrada Família,6,323,32,192.5
3592,5519285,Gràcia,65.0,la Vila de Gràcia,5,159,31,1115.83
3739,5908217,Sant Martí,26.0,el Besòs i el Maresme,4,146,32,474.5
