,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
0,11368,Ciutat Vella,100.0,"Sant Pere, Santa Caterina i la Ribera",4,290,33,625.0
8,31823,Eixample,75.0,l'Antiga Esquerra de l'Eixample,6,324,1,256.25
9,31958,Gràcia,65.0,el Camp d'en Grassot i Gràcia Nova,4,308,1,308.75
10,32471,Gràcia,95.0,el Camp d'en Grassot i Gràcia Nova,5,339,1,205.83
11,32711,Gràcia,140.0,el Camp d'en Grassot i Gràcia Nova,6,334,2,361.67
19,40983,Eixample,95.0,la Dreta de l'Eixample,4,99,3,2105.83
20,44868,Ciutat Vella,82.0,el Raval,2,309,5,382.67
26,58512,Sant Martí,105.0,el Camp de l'Arpa del Clot,6,262,3,901.25
27,61444,Eixample,105.0,la Dreta de l'Eixample,6,285,2,700.0
28,66037,Ciutat Vella,150.0,"Sant Pere, Santa Caterina i la Ribera",6,294,3,887.5
33,71553,Eixample,110.0,el Fort Pienc,2,305,2,550.0
34,71603,Eixample,390.0,la Dreta de l'Eixample,3,365,2,0.0
36,72436,Sant Martí,1000.0,el Poblenou,2,358,3,583.33
37,73455,Ciutat Vella,120.0,el Raval,5,310,3,550.0
38,73481,Ciutat Vella,95.0,el Raval,2,297,3,538.33
39,73643,Sants-Montjuïc,189.0,el Poble Sec,6,232,3,2094.75
40,73649,Sants-Montjuïc,170.0,Hostafrancs,6,281,3,1190.0
42,73692,Eixample,105.0,la Dreta de l'Eixample,5,321,2,385.0
44,73700,Sants-Montjuïc,65.0,el Poble Sec,4,305,2,325.0
47,75411,Sant Martí,120.0,el Clot,6,114,3,2510.0
48,81291,Sant Martí,139.0,el Poblenou,6,320,2,521.25
51,89776,Eixample,65.0,el Fort Pienc,4,263,3,552.5
66,118126,Gràcia,72.0,la Vila de Gràcia,2,322,5,258.0
74,135513,Sant Martí,80.0,el Poblenou,5,314,2,340.0
79,144801,Ciutat Vella,80.0,"Sant Pere, Santa Caterina i la Ribera",4,331,30,226.67
86,163490,Eixample,160.0,la Dreta de l'Eixample,6,310,3,733.33
89,171646,Sant Martí,105.0,el Clot,6,110,3,2231.25
105,188267,Eixample,316.0,la Dreta de l'Eixample,5,335,2,790.0
115,199422,Eixample,75.0,el Fort Pienc,6,62,1,1893.75
117,201958,Ciutat Vella,100.0,el Barri Gòtic,4,133,28,1933.33
118,206122,Gràcia,89.0,la Vila de Gràcia,4,270,2,704.58
119,206167,Sants-Montjuïc,120.0,el Poble Sec,2,229,3,1360.0
120,206846,Ciutat Vella,98.0,"Sant Pere, Santa Caterina i la Ribera",2,220,31,1184.17
